,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,1491.4,769.9,817.6,1246.2,782.0,948.5,366.4,250.5,401.0,191.5,0.0,417.9,537.9,724.6,1028.0,533.6,906.2,272.4,981.3,963.5,935.9,898.9,616.2,387.6,538.7,525.9,710.0,498.4,664.6,618.5,589.4,1278.3,400.5,754.9,855.6,765.9,315.1,271.2,904.7,359.9,460.4,731.0,300.4,245.5,308.2,284.4,524.7,607.5,969.4,501.0,721.7,804.8,601.3,633.6,490.0,589.8,1151.8,1020.1,487.8,455.9,742.1,194.6,431.7,595.0,570.3,546.5,214.6,224.4,218.0,265.0
11,1140.3,838.0,978.1,895.1,520.9,719.6,265.3,336.3,253.6,442.7,417.9,0.0,328.1,825.3,886.1,878.7,764.3,649.2,922.7,834.5,726.0,681.4,387.4,411.5,251.0,207.1,617.2,197.1,522.7,393.3,447.5,1136.4,579.0,613.0,717.5,723.7,441.2,624.6,907.8,711.7,798.8,589.1,407.6,352.7,256.8,181.4,847.8,440.3,946.1,283.5,988.8,814.9,459.4,812.1,813.1,447.9,854.4,878.2,601.7,182.3,600.2,265.4,338.5,501.8,477.1,658.2,591.4,391.3,594.5,373.5
12,1205.1,870.1,1010.2,959.9,346.5,564.3,441.1,562.5,407.5,610.2,537.9,328.1,0.0,783.6,624.8,888.7,503.0,809.7,677.7,638.9,532.7,503.9,216.8,344.7,232.1,188.2,451.4,202.6,261.4,223.2,186.2,875.1,599.8,351.7,537.4,559.3,555.5,733.7,713.9,674.5,850.0,327.8,399.9,345.0,381.5,450.4,891.1,182.2,684.8,237.1,947.1,634.8,183.3,770.4,973.4,186.6,860.6,616.9,623.8,315.2,338.9,506.2,455.4,362.1,337.4,616.5,751.9,500.4,716.8,448.9
13,1705.8,836.6,979.5,1460.6,1009.5,1162.9,951.3,869.5,939.6,811.5,724.6,825.3,783.6,0.0,1341.9,710.9,1220.1,682.2,1394.8,1356.0,1249.8,1221.0,974.7,1038.1,883.7,839.8,1179.3,812.3,978.5,981.1,903.3,1592.2,452.3,1068.8,1254.5,1280.1,505.0,612.1,1431.0,608.8,672.2,1044.9,566.3,591.2,679.2,833.0,694.4,921.4,1401.9,814.9,881.4,1351.9,915.2,672.8,856.1,903.7,183.4,1334.0,456.8,810.5,1056.0,760.7,1060.5,1120.0,1095.3,581.2,777.1,669.7,656.2,617.2
14,1778.9,1360.2,1500.3,1533.7,674.6,375.1,927.7,978.0,913.5,989.6,1028.0,886.1,624.8,1341.9,0.0,1424.3,196.3,1222.3,200.4,296.6,425.4,494.7,764.4,730.0,872.7,828.8,583.2,843.2,692.4,837.6,647.0,578.2,1152.9,541.7,516.3,494.0,1108.6,1286.8,362.6,1227.6,1344.4,583.6,953.0,898.1,956.7,1025.6,1393.4,734.6,190.1,849.8,1500.2,395.9,728.4,1323.5,1358.7,598.6,1500.2,188.0,1176.9,890.4,537.8,1059.3,917.8,712.6,695.8,1169.6,1170.5,1053.5,1180.9,1002.0
15,1810.9,512.2,622.8,1565.7,1071.5,1268.0,720.6,651.3,750.3,546.2,533.6,878.7,888.7,710.9,1424.3,0.0,1273.4,318.1,1284.7,1266.9,1283.7,1202.3,945.0,691.0,864.6,886.4,1013.4,865.6,1031.8,942.8,956.6,1645.5,453.4,1122.1,1159.0,1069.3,515.1,399.0,1208.1,275.1,199.9,1098.2,619.6,644.5,732.5,775.6,334.9,974.7,1272.8,868.2,665.0,1108.2,968.5,510.6,404.0,957.0,1519.0,1387.3,552.0,863.8,1109.3,685.8,771.0,920.4,898.7,347.7,402.6,560.2,356.3,648.7
16,1657.1,1238.4,1378.5,1411.9,600.4,190.7,890.3,930.8,878.6,993.1,906.2,764.3,503.0,1220.1,196.3,1273.4,0.0,1166.5,192.7,217.6,287.4,462.1,645.3,722.3,676.4,632.5,575.5,646.9,518.6,697.4,450.7,452.0,956.6,345.4,495.4,486.3,912.3,1090.5,330.8,1031.3,1206.8,387.3,756.7,701.8,760.4,829.3,1247.9,538.3,243.4,653.5,1303.9,388.2,532.1,1127.2,1351.0,402.3,1303.9,182.5,980.6,694.1,341.5,863.0,899.1,704.9,688.1,973.3,1108.7,857.2,1073.6,805.7
17,1731.9,567.9,615.6,1486.7,869.5,1189.0,484.6,390.1,519.2,285.0,272.4,649.2,809.7,682.2,1222.3,318.1,1166.5,0.0,1146.6,1128.8,1145.6,1064.2,806.9,552.9,726.5,748.3,875.3,748.9,923.3,804.7,848.1,1537.0,326.6,1013.6,1020.9,931.2,377.0,260.9,1070.0,264.4,242.2,989.7,511.1,536.0,624.0,621.7,381.9,866.2,1134.7,759.7,692.6,970.1,860.0,557.6,446.3,848.5,1410.5,1276.4,413.9,755.3,1000.8,547.7,632.9,782.3,760.6,394.7,189.2,422.1,218.2,510.6
18,1805.0,1401.3,1449.0,1559.8,531.0,247.0,875.0,925.3,860.8,936.9,981.3,922.7,677.7,1394.8,200.4,1284.7,192.7,1146.6,0.0,183.9,312.7,382.0,651.7,631.4,781.2,737.3,484.6,751.7,579.7,724.9,555.5,469.0,1061.4,450.2,403.6,395.4,1017.1,1195.0,249.9,1136.1,1245.8,492.1,861.5,806.6,865.2,934.1,1294.8,643.1,184.2,758.3,1408.7,297.3,636.9,1232.0,1260.1,507.1,1408.7,224.6,1085.4,798.9,446.3,967.8,819.2,614.0,597.2,1078.1,1071.9,962.0,1082.3,910.5
19,1763.7,1374.3,1431.2,1518.5,442.8,208.2,857.2,907.5,843.0,919.1,963.5,834.5,638.9,1356.0,296.6,1266.9,217.6,1128.8,183.9,0.0,237.3,312.4,582.1,614.3,728.0,749.7,461.6,787.7,493.9,655.3,591.5,502.3,1097.4,386.1,334.0,372.4,1053.1,1177.9,180.3,1172.1,1228.7,492.5,897.5,842.6,901.2,970.1,1277.7,615.8,246.4,794.3,1444.7,280.2,609.6,1268.0,1243.0,543.1,1444.7,312.8,1121.4,834.9,369.1,1003.8,802.1,596.9,580.1,1114.1,1054.8,998.0,1065.2,946.5
